iter	Accuracy	Logloss
824	0.9893333333	0.162386083
825	0.9893333333	0.162179645
826	0.9893333333	0.1619322877
827	0.9893333333	0.1619015172
828	0.9893333333	0.1613704755
829	0.9893333333	0.1612250114
830	0.9906666667	0.1608896287
831	0.9893333333	0.1608220726
832	0.9906666667	0.1605121455
833	0.9906666667	0.1602932747
834	0.9906666667	0.160229471
835	0.9906666667	0.1600466234
836	0.992	0.1596313932
837	0.992	0.1596030906
838	0.992	0.1590473058
839	0.992	0.1590314899
840	0.992	0.1589499492
841	0.992	0.1586906037
842	0.992	0.158446109
843	0.992	0.158371175
844	0.992	0.1580217509
845	0.992	0.1578978824
846	0.992	0.1575446989
847	0.992	0.1570054196
848	0.992	0.1565283978
849	0.992	0.1563437168
850	0.992	0.1561461613
851	0.992	0.1557970674
852	0.992	0.1557058644
853	0.992	0.1555325967
854	0.992	0.1554096676
855	0.992	0.1550147611
856	0.992	0.1548107781
857	0.9933333333	0.1537901381
858	0.9933333333	0.1535337073
859	0.9933333333	0.1533286762
860	0.9933333333	0.1531782173
861	0.9933333333	0.1530283322
862	0.9933333333	0.1530107288
863	0.9933333333	0.1525776526
864	0.9933333333	0.1524342042
865	0.9933333333	0.1518723157
866	0.9933333333	0.1517085062
867	0.9933333333	0.1515219946
868	0.9933333333	0.1512883452
869	0.9933333333	0.1510695248
870	0.9933333333	0.1509129329
871	0.9933333333	0.1508143998
872	0.9933333333	0.1506048468
873	0.9933333333	0.1504113636
874	0.9933333333	0.1502101411
875	0.9933333333	0.1498007672
876	0.9933333333	0.1493093088
877	0.9933333333	0.1490684355
878	0.9933333333	0.1487625731
879	0.992	0.1485685337
880	0.992	0.1484061472
881	0.992	0.1481084571
882	0.9933333333	0.1478863192
883	0.9933333333	0.1475316437
884	0.9933333333	0.1474953474
885	0.9933333333	0.1472249306
886	0.9933333333	0.1472004907
887	0.9933333333	0.1470583346
888	0.992	0.1469181239
889	0.992	0.146846607
890	0.992	0.1465309265
891	0.992	0.1464792757
892	0.9933333333	0.1461396962
893	0.9946666667	0.1459197962
894	0.9946666667	0.1457808452
895	0.9946666667	0.1457530833
896	0.9933333333	0.1453485651
897	0.9933333333	0.1451464717
898	0.9933333333	0.1449539615
899	0.9933333333	0.1444398169
900	0.9946666667	0.1441922242
901	0.9946666667	0.1440909809
902	0.9946666667	0.1440739458
903	0.9946666667	0.1438773801
904	0.9946666667	0.1436899805
905	0.9946666667	0.1436576545
906	0.9946666667	0.1436007206
907	0.996	0.14300045
908	0.9946666667	0.142610355
909	0.996	0.1423749343
910	0.996	0.1423413803
911	0.9946666667	0.1422239937
912	0.996	0.1420352725
913	0.996	0.1417854007
914	0.9946666667	0.1416639351
915	0.996	0.1414016326
916	0.996	0.141251487
